step	checkpoint	status	fid	cfg	num_requested	num_png	seed	timestamp_utc
250000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/0250000.pt	ok	67.91903261534316	1.0	50000	50176	0	2026-08-01T21:02:29.476441+00:00
500000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/0500000.pt	ok	57.01010638417159	1.0	50000	50176	0	2026-08-02T10:11:28.935049+00:00
750000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/0750000.pt	ok	52.441390102274056	1.0	50000	50176	0	2026-08-02T23:36:06.565998+00:00
1000000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/1000000.pt	ok	49.64487908424047	1.0	50000	50176	0	2026-08-03T12:45:14.796403+00:00
1000800	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/1000800.pt	ok	49.63772618622812	1.0	50000	50176	0	2026-08-04T15:15:35.360973+00:00
1250000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/1250000.pt	ok	47.591701349064124	1.0	50000	50176	0	2026-08-05T04:47:11.319539+00:00
1500000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/1500000.pt	ok	46.44435903091937	1.0	50000	50176	0	2026-08-05T18:19:19.835092+00:00
1750000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/1750000.pt	ok	45.36629934762789	1.0	50000	50176	0	2026-08-06T07:30:17.398008+00:00
2000000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/2000000.pt	ok	44.46750925270834	1.0	50000	50176	0	2026-08-06T21:00:42.968130+00:00
2250000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/2250000.pt	ok	43.70016640676096	1.0	50000	50176	0	2026-08-07T10:10:54.646029+00:00
2500000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/2500000.pt	ok	43.01911391830271	1.0	50000	50176	0	2026-08-07T23:39:35.548958+00:00
2750000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/2750000.pt	ok	42.307006340956036	1.0	50000	50176	0	2026-08-08T12:50:10.743320+00:00
3000000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/3000000.pt	ok	41.88882400358102	1.0	50000	50176	0	2026-08-09T02:17:50.216261+00:00
3250000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/3250000.pt	ok	41.4511384135609	1.0	50000	50176	0	2026-08-09T15:28:36.464899+00:00
3500000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/3500000.pt	ok	41.06018444188339	1.0	50000	50176	0	2026-08-10T04:56:51.985194+00:00
3750000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/3750000.pt	ok	40.635836038709044	1.0	50000	50176	0	2026-08-10T18:25:12.497226+00:00
4000000	/home/nvidia/SiT-rot-layer-bs256/results-200ep/SiT-S-2-RotLayer-bs256-lr1e-4-200ep/checkpoints/4000000.pt	ok	40.273841521884094	1.0	50000	50176	0	2026-08-11T07:36:22.477469+00:00
